Vascular Variant Category,Vascular Variant Pattern,Orders,Families
Procambial variants,Bicollateral bundles,2,2
Procambial variants,Compound stem,1,1
Procambial variants,Divided stem,1,1
Procambial variants,External vacular cylinders,1,1
Procambial variants,Intraxylary phloem,14,24
Procambial variants,Medullary bundles,25,44
Cambial variants,Axial vascular elements in segments,8,11
Cambial variants,Fissured stem,7,8
Cambial variants,Interxylary phloem,11,15
Cambial variants,Non-cylindrical stem,16,18
Cambial variants,Phloem wedges,9,12
Cambial variants,Raylessness,3,3
Ectopic cambia,Ectopic cambia,21,44
Ectopic cambia,Monocot cambium,2,2
